actoterrorista,adultomayor,afrodescendiente,amenaza,apoyo,articulacioninterinstitucional,atencionpsicologica,cabezadefamilia,curso_de_vida,declaracion,delitoscontralibertadein,departamento_procedencia,desplazamiento,despojoyabandonodebienes,discapacidad,edad,gestante,grupo_etario,homicidio,indigena,lgtbi,mes,mestizo,migrantesvenezolanos,minasantipersonal,municipio_procedencia,nucleo_numero,orden,orientacion,personas_nucleo,reclutamientoforzado,rrom,secuestro,sexo,tortura,vigencia,vinculaciondennagrujposarmados,auxilio_econ_mico_mes,hecho_victimizante,monto_asignado,n_cleo_familiar,personas,_merge
NO,NO,NO,NO,NO,NO,NO,NO,Infancia,DEFENSORIA DEL PUEBLO,NO,NORTE DE SANTANDER,NO,NO,NO,9,NO,7  a 11,NO,NO,NO,01 ENERO,NO,NO,NO,TIBU,NO,11,NO,0,NO,NO,NO,Masculino,NO,2017,NO,02 FEBRERO,DESPLAZAMIENTO,687375.0,TIPO B,5,both
NO,NO,NO,NO,NO,NO,NO,NO,Primera infancia,DEFENSORIA DEL PUEBLO,NO,NORTE DE SANTANDER,NO,NO,NO,2,NO,0 a 6,NO,NO,NO,01 ENERO,NO,NO,NO,TIBU,NO,12,NO,0,NO,NO,NO,Femenino,NO,2017,NO,02 FEBRERO,DESPLAZAMIENTO,687375.0,TIPO B,4,both
NO,NO,NO,SI,NO,NO,NO,SI,Adultez,PERSONERIA,NO,NORTE DE SANTANDER,SI,NO,NO,49,NO,29 a 59,NO,NO,NO,01 ENERO,NO,NO,NO,CUCUTA,SI,13,NO,1,NO,NO,NO,Masculino,NO,2017,NO,02 FEBRERO,DESPLAZAMIENTO,687375.0,TIPO B,4,both
NO,NO,NO,NO,NO,NO,NO,SI,Jovenes,DEFENSORIA DEL PUEBLO,NO,ARAUCA,SI,NO,NO,21,NO,18 a 28,NO,NO,NO,01 ENERO,NO,NO,NO,ARAUCA,SI,14,NO,1,NO,NO,NO,Masculino,NO,2017,NO,02 FEBRERO,DESPLAZAMIENTO,423000.0,TIPO A,2,both
NO,NO,NO,SI,NO,NO,NO,SI,Jovenes,DEFENSORIA DEL PUEBLO,NO,ARAUCA,SI,NO,NO,28,NO,18 a 28,NO,NO,NO,01 ENERO,NO,NO,NO,ARAUQUITA,SI,15,NO,3,NO,NO,NO,SIN INFORMACION,NO,2017,NO,02 FEBRERO,DESPLAZAMIENTO,898875.0,TIPO C,7,both
NO,NO,NO,NO,NO,NO,NO,NO,Infancia,DEFENSORIA DEL PUEBLO,NO,ARAUCA,NO,NO,NO,11,NO,7  a 11,NO,NO,NO,01 ENERO,NO,NO,NO,ARAUQUITA,NO,16,NO,0,NO,NO,NO,Masculino,NO,2017,NO,02 FEBRERO,DESPLAZAMIENTO,423000.0,TIPO A,1,both
NO,NO,NO,NO,NO,NO,NO,NO,Infancia,DEFENSORIA DEL PUEBLO,NO,ARAUCA,NO,NO,NO,7,NO,7  a 11,NO,NO,NO,01 ENERO,NO,SI,NO,ARAUQUITA,NO,17,NO,0,NO,NO,NO,Femenino,NO,2017,NO,02 FEBRERO,DESPLAZAMIENTO,423000.0,TIPO A,1,both
NO,NO,NO,NO,NO,NO,NO,SI,Adultez,DEFENSORIA DEL PUEBLO,NO,MAGDALENA,SI,NO,NO,33,NO,29 a 59,NO,NO,NO,01 ENERO,NO,NO,NO,PINTO,SI,18,NO,3,NO,NO,NO,Femenino,NO,2017,NO,02 FEBRERO,DESPLAZAMIENTO,423000.0,TIPO A,2,both
NO,NO,NO,NO,NO,NO,NO,NO,Jovenes,DEFENSORIA DEL PUEBLO,NO,MAGDALENA,NO,NO,NO,28,NO,18 a 28,NO,NO,NO,01 ENERO,NO,NO,NO,PINTO,NO,19,NO,0,NO,NO,NO,Masculino,NO,2017,NO,02 FEBRERO,DESPLAZAMIENTO,898875.0,TIPO C,6,both
NO,NO,NO,NO,NO,NO,NO,NO,Primera infancia,DEFENSORIA DEL PUEBLO,NO,MAGDALENA,NO,NO,NO,6,NO,0 a 6,NO,NO,NO,01 ENERO,NO,NO,NO,PINTO,NO,20,NO,0,NO,NO,NO,Masculino,NO,2017,NO,02 FEBRERO,DESPLAZAMIENTO,687375.0,TIPO B,4,both
NO,NO,NO,SI,NO,NO,NO,SI,Adultez,PERSONERIA,NO,NORTE DE SANTANDER,SI,NO,NO,48,NO,29 a 59,NO,NO,NO,01 ENERO,NO,NO,NO,OCAÑA,SI,21,NO,4,NO,NO,NO,Masculino,NO,2017,NO,02 FEBRERO,DESPLAZAMIENTO,687375.0,TIPO B,4,both
NO,NO,NO,NO,NO,NO,NO,NO,Jovenes,PERSONERIA,NO,NORTE DE SANTANDER,NO,NO,NO,27,NO,18 a 28,NO,NO,NO,01 ENERO,NO,NO,NO,OCAÑA,NO,22,NO,0,NO,NO,NO,Masculino,NO,2017,NO,02 FEBRERO,DESPLAZAMIENTO,687375.0,TIPO B,3,both
NO,NO,NO,NO,NO,NO,NO,NO,Adolescencia,PERSONERIA,NO,NORTE DE SANTANDER,NO,NO,NO,17,NO,12 a 17,NO,NO,NO,01 ENERO,NO,NO,NO,OCAÑA,NO,23,NO,0,NO,NO,NO,Masculino,NO,2017,NO,02 FEBRERO,DESPLAZAMIENTO,423000.0,TIPO A,1,both
NO,NO,NO,NO,NO,NO,NO,NO,Primera infancia,PERSONERIA,NO,NORTE DE SANTANDER,NO,NO,NO,6,NO,0 a 6,NO,NO,NO,01 ENERO,NO,NO,NO,OCAÑA,NO,24,NO,0,NO,NO,NO,Femenino,NO,2017,NO,02 FEBRERO,DESPLAZAMIENTO,898875.0,TIPO C,7,both
NO,SI,NO,NO,NO,NO,NO,SI,Persona Mayor,PERSONERIA,NO,NORTE DE SANTANDER,SI,NO,NO,74,NO,60 y mas,NO,NO,NO,01 ENERO,NO,NO,NO,OCAÑA,SI,25,NO,3,NO,NO,NO,Masculino,NO,2017,NO,02 FEBRERO,DESPLAZAMIENTO,423000.0,TIPO A,1,both
NO,SI,NO,NO,NO,NO,NO,NO,Persona Mayor,PERSONERIA,NO,NORTE DE SANTANDER,NO,NO,NO,95,NO,60 y mas,NO,NO,NO,01 ENERO,NO,NO,NO,OCAÑA,NO,26,NO,0,NO,NO,NO,Masculino,NO,2017,NO,02 FEBRERO,DESPLAZAMIENTO,687375.0,TIPO B,4,both
NO,NO,NO,NO,NO,NO,NO,NO,Jovenes,PERSONERIA,NO,NORTE DE SANTANDER,NO,NO,NO,19,NO,18 a 28,NO,NO,NO,01 ENERO,NO,NO,NO,OCAÑA,NO,27,NO,0,NO,NO,NO,Masculino,NO,2017,NO,02 FEBRERO,DESPLAZAMIENTO,687375.0,TIPO B,3,both
NO,NO,NO,NO,NO,NO,NO,SI,Adultez,PERSONERIA,NO,BOLIVAR,SI,NO,NO,30,NO,29 a 59,NO,NO,NO,01 ENERO,NO,NO,NO,BARRANCO DE LOBA,SI,28,NO,5,NO,NO,NO,Masculino,NO,2017,NO,02 FEBRERO,DESPLAZAMIENTO,687375.0,TIPO B,5,both
NO,NO,NO,NO,NO,NO,NO,NO,Jovenes,PERSONERIA,NO,BOLIVAR,NO,NO,NO,27,NO,18 a 28,NO,NO,NO,01 ENERO,NO,NO,NO,BARRANCO DE LOBA,NO,29,NO,0,NO,NO,NO,SIN INFORMACION,NO,2017,NO,02 FEBRERO,DESPLAZAMIENTO,423000.0,TIPO A,2,both
NO,NO,NO,NO,NO,NO,NO,NO,Infancia,PERSONERIA,NO,BOLIVAR,NO,NO,NO,9,NO,7  a 11,NO,NO,NO,01 ENERO,NO,NO,NO,BARRANCO DE LOBA,NO,30,NO,0,NO,NO,NO,Femenino,NO,2017,NO,02 FEBRERO,DESPLAZAMIENTO,687375.0,TIPO B,4,both
NO,NO,NO,NO,NO,NO,NO,NO,Primera infancia,PERSONERIA,NO,BOLIVAR,NO,NO,NO,3,NO,0 a 6,NO,NO,NO,01 ENERO,NO,NO,NO,BARRANCO DE LOBA,NO,31,NO,0,NO,NO,NO,Femenino,NO,2017,NO,02 FEBRERO,DESPLAZAMIENTO,687375.0,TIPO B,5,both
NO,NO,NO,NO,NO,NO,NO,NO,Primera infancia,PERSONERIA,NO,BOLIVAR,NO,NO,NO,1,NO,0 a 6,NO,NO,NO,01 ENERO,NO,NO,NO,BARRANCO DE LOBA,NO,32,NO,0,NO,NO,NO,Masculino,NO,2017,NO,02 FEBRERO,DESPLAZAMIENTO,898875.0,TIPO C,6,both
NO,NO,NO,NO,NO,NO,NO,SI,Adultez,PERSONERIA,NO,BOLIVAR,SI,NO,NO,36,NO,29 a 59,NO,NO,NO,01 ENERO,NO,NO,NO,SANTA ROSA,SI,33,NO,4,NO,NO,NO,SIN INFORMACION,NO,2017,NO,02 FEBRERO,DESPLAZAMIENTO,687375.0,TIPO B,3,both
NO,NO,NO,NO,NO,NO,NO,NO,Adultez,PERSONERIA,NO,BOLIVAR,SI,NO,NO,58,NO,29 a 59,NO,NO,NO,01 ENERO,NO,NO,NO,SANTA ROSA,NO,34,NO,0,NO,NO,NO,Masculino,NO,2017,NO,02 FEBRERO,DESPLAZAMIENTO,898875.0,TIPO C,6,both
NO,NO,NO,NO,NO,NO,NO,NO,Adolescencia,PERSONERIA,NO,BOLIVAR,SI,NO,NO,17,NO,12 a 17,NO,NO,NO,01 ENERO,NO,NO,NO,SANTA ROSA,NO,35,NO,0,NO,NO,NO,SIN INFORMACION,NO,2017,NO,02 FEBRERO,DESPLAZAMIENTO,898875.0,TIPO C,7,both
NO,NO,NO,NO,NO,NO,NO,NO,Infancia,PERSONERIA,NO,BOLIVAR,SI,NO,NO,9,NO,7  a 11,NO,NO,NO,01 ENERO,NO,NO,NO,SANTA ROSA,NO,36,NO,0,NO,NO,NO,Femenino,NO,2017,NO,02 FEBRERO,DESPLAZAMIENTO,687375.0,TIPO B,5,both
NO,NO,NO,NO,NO,NO,NO,SI,Adultez,PERSONERIA,NO,NORTE DE SANTANDER,SI,NO,NO,44,NO,29 a 59,NO,NO,NO,01 ENERO,NO,NO,NO,OCAÑA,SI,37,NO,4,NO,NO,NO,SIN INFORMACION,NO,2017,NO,02 FEBRERO,DESPLAZAMIENTO,687375.0,TIPO B,3,both
NO,NO,NO,NO,NO,NO,NO,NO,Jovenes,PERSONERIA,NO,NORTE DE SANTANDER,SI,NO,NO,23,NO,18 a 28,NO,NO,NO,01 ENERO,NO,NO,NO,OCAÑA,NO,38,NO,0,NO,NO,NO,SIN INFORMACION,NO,2017,NO,02 FEBRERO,DESPLAZAMIENTO,687375.0,TIPO B,3,both
NO,NO,NO,NO,NO,NO,NO,NO,Jovenes,PERSONERIA,NO,NORTE DE SANTANDER,SI,NO,NO,24,NO,18 a 28,NO,NO,NO,01 ENERO,NO,NO,NO,OCAÑA,NO,39,NO,0,NO,NO,NO,Masculino,NO,2017,NO,02 FEBRERO,DESPLAZAMIENTO,898875.0,TIPO C,6,both
NO,NO,NO,NO,NO,NO,NO,NO,Infancia,PERSONERIA,NO,NORTE DE SANTANDER,SI,NO,NO,8,NO,7  a 11,NO,NO,NO,01 ENERO,NO,NO,NO,OCAÑA,NO,40,NO,0,NO,NO,NO,Masculino,NO,2017,NO,02 FEBRERO,DESPLAZAMIENTO,687375.0,TIPO B,4,both
NO,NO,NO,NO,NO,NO,NO,SI,Jovenes,DEFENSORIA DEL PUEBLO,NO,NORTE DE SANTANDER,SI,NO,NO,20,NO,18 a 28,NO,NO,NO,01 ENERO,NO,NO,NO,CUCUTA,SI,41,NO,2,NO,NO,NO,Femenino,NO,2017,NO,02 FEBRERO,DESPLAZAMIENTO,687375.0,TIPO B,5,both
NO,NO,NO,NO,NO,NO,NO,NO,Primera infancia,DEFENSORIA DEL PUEBLO,NO,NORTE DE SANTANDER,SI,NO,NO,3,NO,0 a 6,NO,NO,NO,01 ENERO,NO,NO,NO,CUCUTA,NO,42,NO,0,NO,NO,NO,Femenino,NO,2017,NO,02 FEBRERO,DESPLAZAMIENTO,687375.0,TIPO B,4,both
NO,NO,NO,NO,NO,NO,NO,SI,Adultez,DEFENSORIA DEL PUEBLO,NO,NORTE DE SANTANDER,SI,NO,NO,37,NO,29 a 59,NO,NO,NO,01 ENERO,NO,NO,NO,CUCUTA,SI,43,NO,7,NO,NO,NO,Masculino,NO,2017,NO,02 FEBRERO,DESPLAZAMIENTO,687375.0,TIPO B,5,both
NO,NO,NO,NO,NO,NO,NO,NO,Jovenes,DEFENSORIA DEL PUEBLO,NO,NORTE DE SANTANDER,SI,NO,NO,26,NO,18 a 28,NO,NO,NO,01 ENERO,NO,NO,NO,CUCUTA,NO,44,NO,0,NO,NO,NO,SIN INFORMACION,NO,2017,NO,02 FEBRERO,DESPLAZAMIENTO,898875.0,TIPO C,6,both
NO,NO,NO,NO,NO,NO,NO,NO,Primera infancia,DEFENSORIA DEL PUEBLO,NO,NORTE DE SANTANDER,SI,NO,NO,5,NO,0 a 6,NO,NO,NO,01 ENERO,NO,NO,NO,CUCUTA,NO,45,NO,0,NO,NO,NO,Masculino,NO,2017,NO,02 FEBRERO,DESPLAZAMIENTO,687375.0,TIPO B,4,both
NO,NO,NO,NO,NO,NO,NO,NO,Infancia,DEFENSORIA DEL PUEBLO,NO,NORTE DE SANTANDER,SI,NO,NO,9,NO,7  a 11,NO,NO,NO,01 ENERO,NO,NO,NO,CUCUTA,NO,46,NO,0,NO,NO,NO,Masculino,NO,2017,NO,02 FEBRERO,DESPLAZAMIENTO,687375.0,TIPO B,3,both
NO,NO,NO,NO,NO,NO,NO,NO,Infancia,DEFENSORIA DEL PUEBLO,NO,NORTE DE SANTANDER,SI,NO,NO,7,NO,7  a 11,NO,NO,NO,01 ENERO,NO,NO,NO,CUCUTA,NO,47,NO,0,NO,NO,NO,Masculino,NO,2017,NO,03 MARZO,DESPLAZAMIENTO,687375.0,TIPO B,5,both
NO,NO,NO,NO,NO,NO,NO,NO,Primera infancia,DEFENSORIA DEL PUEBLO,NO,NORTE DE SANTANDER,SI,NO,NO,2,NO,0 a 6,NO,NO,NO,01 ENERO,NO,NO,NO,CUCUTA,NO,48,NO,0,NO,NO,NO,Masculino,NO,2017,NO,03 MARZO,DESPLAZAMIENTO,687375.0,TIPO B,3,both
NO,NO,NO,NO,NO,NO,NO,NO,Primera infancia,DEFENSORIA DEL PUEBLO,NO,NORTE DE SANTANDER,SI,NO,NO,4,NO,0 a 6,NO,NO,NO,01 ENERO,NO,NO,NO,CUCUTA,NO,49,NO,0,NO,NO,NO,Femenino,NO,2017,NO,03 MARZO,DESPLAZAMIENTO,423000.0,TIPO A,1,both
NO,SI,NO,NO,NO,NO,NO,SI,Persona Mayor,DEFENSORIA DEL PUEBLO,NO,NORTE DE SANTANDER,SI,NO,NO,61,NO,60 y mas,NO,NO,NO,01 ENERO,NO,NO,NO,EL ZULIA,SI,50,NO,1,NO,NO,NO,Masculino,NO,2017,NO,03 MARZO,DESPLAZAMIENTO,898875.0,TIPO C,6,both
NO,NO,NO,NO,NO,NO,NO,SI,Jovenes,DEFENSORIA DEL PUEBLO,NO,ARAUCA,SI,NO,NO,27,NO,18 a 28,NO,NO,NO,01 ENERO,NO,NO,NO,FORTUL,SI,51,NO,1,NO,NO,NO,Masculino,NO,2017,NO,03 MARZO,DESPLAZAMIENTO,687375.0,TIPO B,4,both
NO,NO,NO,NO,NO,NO,NO,SI,Adultez,DEFENSORIA DEL PUEBLO,NO,NORTE DE SANTANDER,SI,NO,NO,37,NO,29 a 59,NO,NO,NO,01 ENERO,NO,NO,NO,HACARI,SI,52,NO,2,NO,NO,NO,SIN INFORMACION,NO,2017,NO,03 MARZO,DESPLAZAMIENTO,687375.0,TIPO B,4,both
NO,NO,NO,NO,NO,NO,NO,NO,Adolescencia,DEFENSORIA DEL PUEBLO,NO,NORTE DE SANTANDER,SI,NO,NO,14,NO,12 a 17,NO,NO,NO,01 ENERO,NO,NO,NO,HACARI,NO,53,NO,0,NO,NO,NO,Masculino,NO,2017,NO,03 MARZO,DESPLAZAMIENTO,687375.0,TIPO B,5,both
NO,NO,NO,NO,NO,NO,NO,SI,Adultez,PERSONERIA,NO,SANTANDER,SI,NO,NO,58,NO,29 a 59,NO,NO,NO,01 ENERO,NO,NO,NO,MATANZA,SI,54,NO,6,NO,NO,NO,Masculino,NO,2017,NO,03 MARZO,DESPLAZAMIENTO,423000.0,TIPO A,1,both
NO,NO,NO,NO,NO,NO,NO,NO,Adultez,PERSONERIA,NO,SANTANDER,SI,NO,NO,52,NO,29 a 59,NO,NO,NO,01 ENERO,NO,NO,NO,MATANZA,NO,55,NO,0,NO,NO,NO,SIN INFORMACION,NO,2017,NO,03 MARZO,DESPLAZAMIENTO,898875.0,TIPO C,8,both
NO,NO,NO,NO,NO,NO,NO,NO,Jovenes,PERSONERIA,NO,SANTANDER,SI,NO,NO,27,NO,18 a 28,NO,NO,NO,01 ENERO,NO,NO,NO,MATANZA,NO,56,NO,0,NO,NO,NO,SIN INFORMACION,NO,2017,NO,03 MARZO,DESPLAZAMIENTO,687375.0,TIPO B,4,both
NO,NO,NO,NO,NO,NO,NO,NO,Adolescencia,PERSONERIA,NO,SANTANDER,SI,NO,NO,14,NO,12 a 17,NO,NO,NO,01 ENERO,NO,NO,NO,MATANZA,NO,57,NO,0,NO,NO,NO,Femenino,NO,2017,NO,03 MARZO,DESPLAZAMIENTO,423000.0,TIPO A,2,both
NO,NO,NO,NO,NO,NO,NO,NO,Primera infancia,PERSONERIA,NO,SANTANDER,SI,NO,NO,3,NO,0 a 6,NO,NO,NO,01 ENERO,NO,NO,NO,MATANZA,NO,58,NO,0,NO,NO,NO,Femenino,NO,2017,NO,03 MARZO,DESPLAZAMIENTO,423000.0,TIPO A,2,both
NO,NO,NO,NO,NO,NO,NO,NO,Infancia,PERSONERIA,NO,SANTANDER,SI,NO,NO,7,NO,7  a 11,NO,NO,NO,01 ENERO,NO,NO,NO,MATANZA,NO,59,NO,0,NO,NO,NO,Femenino,NO,2017,NO,03 MARZO,DESPLAZAMIENTO,687375.0,TIPO B,3,both
NO,NO,NO,NO,NO,NO,NO,SI,Adultez,DEFENSORIA DEL PUEBLO,NO,ARAUCA,SI,NO,NO,30,NO,29 a 59,NO,NO,NO,01 ENERO,NO,NO,NO,ARAUCA,SI,60,NO,9,NO,NO,NO,Femenino,NO,2017,NO,03 MARZO,DESPLAZAMIENTO,423000.0,TIPO A,2,both
NO,NO,NO,NO,NO,NO,NO,NO,Jovenes,DEFENSORIA DEL PUEBLO,NO,ARAUCA,SI,NO,NO,25,NO,18 a 28,NO,NO,NO,01 ENERO,NO,NO,NO,ARAUCA,NO,61,NO,0,NO,NO,NO,Masculino,NO,2017,NO,03 MARZO,DESPLAZAMIENTO,423000.0,TIPO A,1,both
NO,SI,NO,NO,NO,NO,NO,NO,Persona Mayor,DEFENSORIA DEL PUEBLO,NO,ARAUCA,SI,NO,NO,63,NO,60 y mas,NO,NO,NO,01 ENERO,NO,NO,NO,ARAUCA,NO,62,NO,0,NO,NO,NO,Femenino,NO,2017,NO,03 MARZO,DESPLAZAMIENTO,687375.0,TIPO B,4,both
NO,NO,NO,NO,NO,NO,NO,NO,Adolescencia,DEFENSORIA DEL PUEBLO,NO,ARAUCA,SI,NO,NO,13,NO,12 a 17,NO,NO,NO,01 ENERO,NO,NO,NO,ARAUCA,NO,63,NO,0,NO,NO,NO,Femenino,NO,2017,NO,03 MARZO,DESPLAZAMIENTO,898875.0,TIPO C,5,both
NO,NO,NO,NO,NO,NO,NO,NO,Infancia,DEFENSORIA DEL PUEBLO,NO,ARAUCA,SI,NO,NO,11,NO,7  a 11,NO,NO,NO,01 ENERO,NO,NO,NO,ARAUCA,NO,64,NO,0,NO,NO,NO,Masculino,NO,2017,NO,03 MARZO,DESPLAZAMIENTO,423000.0,TIPO A,2,both
NO,NO,NO,NO,NO,NO,NO,NO,Infancia,DEFENSORIA DEL PUEBLO,NO,ARAUCA,SI,NO,NO,8,NO,7  a 11,NO,NO,NO,01 ENERO,NO,NO,NO,ARAUCA,NO,65,NO,0,NO,NO,NO,Masculino,NO,2017,NO,03 MARZO,DESPLAZAMIENTO,423000.0,TIPO A,2,both
NO,NO,NO,NO,NO,NO,NO,NO,Infancia,DEFENSORIA DEL PUEBLO,NO,ARAUCA,NO,NO,NO,7,NO,7  a 11,NO,NO,NO,01 ENERO,NO,NO,NO,ARAUCA,NO,66,NO,0,NO,NO,NO,Femenino,NO,2017,NO,03 MARZO,DESPLAZAMIENTO,423001.0,TIPO A,2,both
NO,NO,NO,NO,NO,NO,NO,NO,Primera infancia,DEFENSORIA DEL PUEBLO,NO,ARAUCA,SI,NO,NO,5,NO,0 a 6,NO,NO,NO,01 ENERO,NO,NO,NO,ARAUCA,NO,67,NO,0,NO,NO,NO,Masculino,NO,2017,NO,03 MARZO,DESPLAZAMIENTO,687375.0,TIPO B,4,both
NO,NO,NO,SI,NO,NO,NO,SI,SIN INFORMACION,PERSONERIA,NO,CESAR,SI,NO,NO,SIN INFORMACION,NO,SIN INFORMACION,NO,NO,NO,01 ENERO,NO,NO,NO,VALLEDUPAR,SI,68,NO,5,NO,NO,NO,SIN INFORMACION,NO,2017,NO,03 MARZO,DESPLAZAMIENTO,898875.0,TIPO C,6,both
NO,NO,NO,NO,NO,NO,NO,NO,SIN INFORMACION,PERSONERIA,NO,CESAR,SI,NO,NO,SIN INFORMACION,NO,SIN INFORMACION,NO,NO,NO,01 ENERO,NO,NO,NO,VALLEDUPAR,NO,69,NO,0,NO,NO,NO,Masculino,NO,2017,NO,04 ABRIL,DESPLAZAMIENTO,687375.0,TIPO B,3,both
NO,NO,NO,NO,NO,NO,NO,NO,SIN INFORMACION,PERSONERIA,NO,CESAR,SI,NO,NO,SIN INFORMACION,NO,SIN INFORMACION,NO,NO,NO,01 ENERO,NO,NO,NO,VALLEDUPAR,NO,70,NO,0,NO,NO,NO,Masculino,NO,2017,NO,04 ABRIL,DESPLAZAMIENTO,423000.0,TIPO A,1,both
NO,NO,NO,NO,NO,NO,NO,NO,SIN INFORMACION,PERSONERIA,NO,CESAR,SI,NO,NO,SIN INFORMACION,NO,SIN INFORMACION,NO,NO,NO,01 ENERO,NO,NO,NO,VALLEDUPAR,NO,71,NO,0,NO,NO,NO,Femenino,NO,2017,NO,04 ABRIL,DESPLAZAMIENTO,687375.0,TIPO B,3,both
NO,NO,NO,NO,NO,NO,NO,NO,SIN INFORMACION,PERSONERIA,NO,CESAR,SI,NO,NO,SIN INFORMACION,NO,SIN INFORMACION,NO,NO,NO,01 ENERO,NO,NO,NO,VALLEDUPAR,NO,72,NO,0,NO,NO,NO,SIN INFORMACION,NO,2017,NO,04 ABRIL,DESPLAZAMIENTO,687375.0,TIPO B,3,both
NO,NO,NO,NO,NO,NO,NO,SI,Adultez,DEFENSORIA DEL PUEBLO,NO,SANTANDER,SI,NO,NO,44,NO,29 a 59,NO,NO,NO,02 FEBRERO,NO,NO,NO,BARRANCABERMEJA,SI,73,NO,4,NO,NO,NO,SIN INFORMACION,NO,2017,NO,04 ABRIL,DESPLAZAMIENTO,687375.0,TIPO B,4,both
NO,SI,NO,NO,NO,NO,NO,NO,Persona Mayor,DEFENSORIA DEL PUEBLO,NO,SANTANDER,SI,NO,NO,65,NO,60 y mas,NO,NO,NO,02 FEBRERO,NO,NO,NO,BARRANCABERMEJA,NO,74,NO,0,NO,NO,NO,Masculino,NO,2017,NO,04 ABRIL,DESPLAZAMIENTO,687375.0,TIPO B,3,both
